time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15;cpu_16;cpu_17;cpu_18;cpu_19;cpu_20;cpu_21;cpu_22;cpu_23;cpu_24;cpu_25;cpu_26;cpu_27;cpu_28;cpu_29;cpu_30;cpu_31
11976;0;368500;1;-28;0.0;2.4;n/a;n/a;n/a;20;-0.28;3.3;2920.635010;91;0.0;0.0;0.0;28;0.0;60444.445312;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;3.8;0.0;0.0;0.0;0.0;3.8;1.8;14;0.0;0.0;0.0;1.8;0.0;1.8;3.8;14;3.8;1.8;0.0;3.8;1.8;16;7.8;1.8;20;5.8;1.8;3.8;0.0;0.0;1.8;7.8
12475;0;368500;1;-27;0.0;-195;n/a;n/a;n/a;20;-0.24;4.6;5772.548828;87;0.0;0.0;0.0;25;77;61239.214844;50;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;0.0;0.0;0.0;0.0;18;2.0;14;2.0;2.0;2.0;0.0;2.0;2.0;2.0;18;4.0;4.0;0.0;6.0;2.0;2.0;8.0;4.0;22;2.0;0.0;4.0;4.0;0.0;4.0;4.0
12974;0;368500;1;-32;0.0;-1.2;n/a;n/a;n/a;0.0;-2.1;0.0;0.0;100.000000;0.0;0.0;0.0;28;0.0;59365.949219;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;5.8;0.0;0.0;0.0;0.0;18;1.8;14;0.0;3.8;1.8;0.0;1.8;3.8;5.8;22;1.8;1.8;0.0;3.8;1.8;0.0;7.8;3.8;20;1.8;0.0;3.8;0.0;1.8;0.0;1.8
13473;0;368500;1;-31;0.0;-162;n/a;n/a;n/a;20;-2.2;3.0;1440.313110;95;0.0;0.0;0.0;28;0.0;76649.703125;44;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.88;20;3.8;1.8;0.0;0.0;0.0;1.8;3.8;12;1.8;1.8;1.8;0.0;0.0;3.8;1.8;14;3.8;1.8;0.0;3.8;1.8;14;3.8;1.8;18;1.8;0.0;1.8;1.8;0.0;1.8;3.8
13972;0;368500;1;-27;0.0;-8.7;n/a;n/a;n/a;20;1.4;5.0;5614.035156;84;0.0;0.0;0.0;28;0.0;33933.722656;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;0.94;20;3.8;0.0;0.0;0.0;0.0;16;7.8;14;0.0;0.0;1.8;1.8;1.8;1.8;0.0;1.8;1.8;1.8;1.8;3.8;1.8;3.8;1.8;3.8;20;5.8;0.0;3.8;0.0;0.0;3.8;20
14471;0;368500;1;-33;0.0;-13;n/a;n/a;n/a;20;-2.4;5.0;1434.697876;89;0.0;0.0;0.0;28;74;42417.152344;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;3.8;0.0;0.0;3.8;0.0;18;7.8;14;3.8;5.8;1.8;1.8;0.0;1.8;0.0;7.8;3.8;3.8;0.0;0.0;3.8;0.0;1.8;1.8;18;0.0;0.0;1.8;0.0;1.8;3.8;16
14970;0;368500;1;-28;0.0;-103;n/a;n/a;n/a;20;-0.38;5.0;2886.274414;91;0.0;0.0;0.0;26;0.0;43921.570312;0;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;6.0;2.0;0.0;6.0;0.0;10;8.0;14;0.0;4.0;2.0;2.0;2.0;2.0;0.0;2.0;4.0;2.0;0.0;0.0;2.0;10;2.0;4.0;22;0.0;0.0;4.0;0.0;0.0;4.0;18
15469;0;368500;1;-32;0.0;88;n/a;n/a;n/a;20;-1.8;4.2;4346.456543;73;0.0;0.0;0.0;0.0;74;19653.542969;77;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;3.8;0.0;0.0;3.8;0.0;0.0;5.8;14;0.0;3.8;1.8;1.8;1.8;3.8;0.0;0.0;1.8;1.8;0.0;0.0;1.8;18;1.8;3.8;20;0.0;0.0;1.8;1.8;0.0;5.8;20
15968;0;368500;1;-29;0.0;-68;n/a;n/a;n/a;20;-1.2;2.0;1440.313110;95;0.0;0.0;0.0;28;0.0;61119.375000;38;0.0;6.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;4.0;0.0;0.0;4.0;0.0;0.0;8.0;12;0.0;6.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;0.0;0.0;2.0;20;2.0;2.0;22;0.0;0.0;2.0;0.0;2.0;4.0;22
16467;0;368500;1;-29;0.0;-86;n/a;n/a;n/a;20;-1.1;4.7;2875.000000;91;0.0;0.0;0.0;9.2;90;17062.500000;0;0.0;4.0;0.0;0.0;1.2;751492;1680460;20;1.0;20;6.0;0.0;0.0;4.0;0.0;0.0;8.0;14;0.0;4.0;2.0;2.0;4.0;2.0;0.0;0.0;4.0;4.0;0.0;0.0;2.0;20;2.0;4.0;22;0.0;0.0;4.0;0.0;0.0;4.0;22
